Process ID	:,0d0312b80a5b306161f04311
Date		:,2020-10-21 17:05:01
Elapsed time(s)	:, 1.00
Dut Sn:,
Dut Mac: ,
Tester Sn: ,
Test Summary	:,FAIL
Num	,Date		,Measurement Name			,P/F		,Measurement	,Units		,Lower Limit	,Upper Limit	,LCEx			,Error Code,

