Process ID	:,37ae36e00ada1ba87ebd21f3
Date		:,2020-09-09 08:38:24
Elapsed time(s)	:, 1.00
Dut Sn:,
Dut Mac: ,2C641FE02C93
Tester Sn: ,
Test Summary	:,FAIL
Num	,Date		,Measurement Name			,P/F		,Measurement	,Units		,Lower Limit	,Upper Limit	,LCEx			,Error Code,

