Process ID	:,10755aed237953a76097708a
Date		:,2020-10-21 17:09:31
Elapsed time(s)	:, 0.00
Dut Sn:,
Dut Mac: ,
Tester Sn: ,
Test Summary	:,FAIL
Num	,Date		,Measurement Name			,P/F		,Measurement	,Units		,Lower Limit	,Upper Limit	,LCEx			,Error Code,

