Process ID	:,6d3d7f125aca08e91be72749
Date		:,2020-09-11 03:36:58
Elapsed time(s)	:, 1.00
Dut Sn:,
Dut Mac: ,2C641FE00E5A
Tester Sn: ,
Test Summary	:,FAIL
Num	,Date		,Measurement Name			,P/F		,Measurement	,Units		,Lower Limit	,Upper Limit	,LCEx			,Error Code,

