Process ID	:,539f138d56373ccb1b8a2d4c
Date		:,2020-09-10 13:07:18
Elapsed time(s)	:, 0.00
Dut Sn:,
Dut Mac: ,2C641FE00E26
Tester Sn: ,
Test Summary	:,FAIL
Num	,Date		,Measurement Name			,P/F		,Measurement	,Units		,Lower Limit	,Upper Limit	,LCEx			,Error Code,

