Process ID	:,24684a59637778ba52ce03e7
Date		:,2020-09-12 19:50:24
Elapsed time(s)	:, 0.00
Dut Sn:,
Dut Mac: ,2C641FDFD5DE
Tester Sn: ,
Test Summary	:,FAIL
Num	,Date		,Measurement Name			,P/F		,Measurement	,Units		,Lower Limit	,Upper Limit	,LCEx			,Error Code,

