Process ID	:,40a83c18286c523728710b23
Date		:,2020-09-16 19:13:27
Elapsed time(s)	:, 0.00
Dut Sn:,
Dut Mac: ,2C641FEA0A48
Tester Sn: ,
Test Summary	:,FAIL
Num	,Date		,Measurement Name			,P/F		,Measurement	,Units		,Lower Limit	,Upper Limit	,LCEx			,Error Code,

