Process ID	:,78334de22dee64b00d297930
Date		:,2020-09-07 19:01:21
Elapsed time(s)	:, 0.00
Dut Sn:,
Dut Mac: ,2C641FDFE808
Tester Sn: ,
Test Summary	:,FAIL
Num	,Date		,Measurement Name			,P/F		,Measurement	,Units		,Lower Limit	,Upper Limit	,LCEx			,Error Code,

