Process ID	:,5cec590d6a193a1c46505be7
Date		:,2020-09-06 06:11:36
Elapsed time(s)	:, 0.00
Dut Sn:,
Dut Mac: ,2C641FE047C4
Tester Sn: ,
Test Summary	:,FAIL
Num	,Date		,Measurement Name			,P/F		,Measurement	,Units		,Lower Limit	,Upper Limit	,LCEx			,Error Code,

