Process ID	:,37e05fc654c36cf2476075d9
Date		:,2020-09-14 08:29:57
Elapsed time(s)	:, 1.00
Dut Sn:,
Dut Mac: ,2C641FDFD281
Tester Sn: ,
Test Summary	:,FAIL
Num	,Date		,Measurement Name			,P/F		,Measurement	,Units		,Lower Limit	,Upper Limit	,LCEx			,Error Code,

