FileInformation
Sample Count,240000
Frequency,120.000000,MHz
Center Freq,5500000000.000000,Hz
Data Type,int16
RF Gain,0.000000,dB
IQGainImb,-0.030000,dB
IQPhaseImb,-0.180000,deg
DC_Offset_I,0.000000
DC_Offset_Q,0.000000
Time Skew,-0.017000
ExternalAttEnable,1
ModType,2
ExternalAtt,0.000000
TriggerLevel,-34.000000
VsaAmpl,18.000000
Secne,0
Copyright,iTest
Create Time,2020-09-09,21:15:56
StartData
-3,3
5,3
1,11
5,-5
-7,-21
-19,-5
13,-13
13,3
13,11
25,-13
-11,-9
9,7
17,11
-11,-17
-3,-5
-3,3
-19,-9
-15,11
-15,-13
-19,-5
-19,11
-15,-17
-23,-5
-11,-21
9,7
-3,11
-11,-9
13,-17
9,7
21,-1
5,-17
-3,-1
5,11
13,11
-3,-1
5,7
1,-5
-7,-9
9,3
9,-5
-3,3
-23,27
-15,3
-23,7
5,19
-7,-13
-15,-17
5,-13
-23,23
-3,-5
13,11
9,7
9,-13
13,-5
5,-1
5,-21
21,-9
-7,-13
-3,7
-3,7
17,3
9,-9
5,19
-11,15
-3,-5
-7,-13
-27,-9
-7,-9
-3,-9
-3,-33
-19,-5
-15,11
5,-13
-3,-9
25,-13
13,-17
13,-9
17,3
1,7
5,-5
-3,15
9,15
5,3
5,11
9,11
1,19
17,-17
5,-1
-7,-1
-7,7
-11,15
-3,-9
-7,-9
-15,-9
-3,-1
5,-17
1,-5
5,3
9,3
-3,-13
-3,-21
1,3
-11,-13
5,-5
1,23
-31,-13
-19,-5
9,15
1,-5
-15,7
-3,15
5,-9
-27,-1
-15,-1
-11,-13
-19,-1
1,-21
21,-17
-3,3
-7,27
-7,23
5,-21
5,-1
5,-5
1,15
-3,7
-15,-9
5,11
-3,19
-31,7
-3,-17
13,-25
-7,3
-7,11
-7,-9
1,-9
21,3
5,3
5,-5
-15,7
-27,-13
5,-5
17,11
9,3
5,-5
-19,-13
-15,11
-3,-5
1,-9
9,11
-7,11
1,-13
-7,-1
9,-17
17,-1
1,-1
-3,11
-3,19
5,-1
25,-9
17,-1
13,3
-11,7
-23,-1
-11,-9
9,23
17,11
-7,3
-19,7
-11,-9
-7,-5
-7,11
-11,23
1,-1
1,-17
-7,-17
1,23
-27,7
-11,-9
21,-5
5,3
-7,19
-11,7
17,7
9,-1
-15,-5
-7,-17
1,-13
5,-1
-7,7
-3,3
21,-13
9,-13
-3,-13
1,3
-23,-1
-11,7
-7,-5
-35,-13
-11,-9
-15,3
-15,23
1,15
-7,11
17,-5
1,3
5,-5
9,7
1,19
1,7
-23,15
13,3
1,-13
-15,-5
1,-13
5,7
21,-5
-3,-1
-15,-13
-7,-1
-15,-5
-11,7
-19,3
1,-1
13,19
5,7
9,-5
1,-13
-7,-1
1,3
5,19
-27,-1
9,-9
13,3
-3,-9
5,-5
-23,3
5,-9
-11,-21
-3,11
9,11
-11,-25
-15,-5
-11,7
9,11
5,-21
9,-9
-11,11
-19,3
-15,3
-7,-21
1,-5
-7,15
9,-1
5,3
-11,7
-15,11
-19,11
-11,3
9,11
-7,15
-15,-1
5,15
1,-5
5,-9
25,-9
1,3
1,-1
17,-5
-7,3
1,-1
-3,-5
17,-17
-11,3
-19,7
-11,11
1,-5
9,3
13,-5
-11,15
-11,15
-7,3
-15,-5
-7,3
13,-1
-3,11
1,19
-19,-5
13,3
1,-5
9,-1
-15,-17
-3,11
17,7
-11,3
13,3
-7,-17
-7,3
-7,11
5,3
13,-13
1,11
1,7
1,-13
-15,19
-3,11
1,-1
5,27
13,7
-7,-9
-3,3
9,19
13,-9
9,7
-3,11
-23,-13
-27,-1
-7,15
-11,-9
-11,3
5,-9
9,-13
-23,-21
-15,7
13,-1
-7,-5
-11,-5
-15,-5
-7,15
9,-9
17,-5
1,3
-7,3
-3,3
-3,-5
-11,-9
-7,-9
-23,7
-23,-13
1,-5
13,-13
5,-13
-19,-5
-15,7
5,3
13,11
1,-13
1,-5
5,-21
-15,7
-19,11
1,3
-3,-1
-11,-5
-15,-5
5,-17
13,-1
-11,-13
1,-5
-7,3
9,3
13,15
13,-1
17,7
-7,-1
-7,11
9,-1
1,7
-3,3
-7,3
9,15
-23,3
-7,-1
17,-5
9,3
9,11
-11,-17
-7,7
1,-9
9,-21
5,15
5,11
1,-5
17,7
-7,3
-7,11
9,-13
13,-13
-11,19
-7,31
-7,23
-19,3
-19,-1
-15,7
25,11
-3,-5
9,-33
5,7
9,-21
5,-5
-23,7
-15,-17
-19,-21
1,-17
-3,-1
-7,-21
-3,-29
-11,-9
13,7
1,3
-3,-17
-11,-17
-11,-1
9,7
21,11
-11,-5
5,15
5,-13
9,-13
9,7
-15,-1
-3,-1
13,11
-7,19
21,3
13,7
1,-1
5,7
-15,19
5,11
17,-5
9,-5
5,15
-7,11
-11,3
9,-25
1,7
9,3
-11,3
-15,7
9,-9
17,3
5,15
-31,15
-31,7
-7,7
-7,7
-7,-1
9,-17
13,-13
-3,-25
1,3
-11,15
1,7
1,-1
-3,3
13,-1
-15,15
1,15
25,7
9,-5
-7,-9
9,11
1,11
-11,-29
-19,-9
-7,-5
9,7
-11,-9
-7,7
5,11
1,-13
9,-9
5,11
-19,-17
-7,19
5,-1
13,-9
9,-1
-15,-5
-7,-9
5,7
17,15
-11,-13
-19,-13
5,-1
13,-5
-3,-9
1,-1
-3,11
-7,11
1,-5
-19,-1
5,11
-3,11
-27,-13
5,-25
-7,-9
17,7
5,3
-19,11
-15,3
1,-17
-11,11
-7,11
1,-5
9,-17
5,-21
9,11
-3,7
1,7
1,-1
5,-1
1,11
-15,-5
-3,-13
-23,-9
5,7
17,19
-7,-5
-11,23
-15,7
-3,19
9,-9
-11,3
1,-5
-23,11
-11,-9
17,-13
-15,3
9,-5
5,-1
5,3
-7,-9
-3,-13
5,-9
1,-9
25,11
13,7
-11,3
1,3
5,7
25,7
1,-9
-27,-21
-11,3
13,-25
9,-9
-11,7
-7,11
13,-9
-11,-17
9,-1
9,11
9,-9
9,11
5,-1
29,-1
9,15
-7,3
-15,3
5,11
17,-5
5,-1
13,23
-3,7
5,-17
-7,-1
-35,-9
-3,11
-3,7
-15,-1
5,3
-3,3
-7,-9
1,-5
-7,-1
-7,-5
9,-5
9,-5
1,-21
17,15
-3,15
-11,-17
5,-13
1,-9
-7,-9
-7,3
-7,15
5,-9
-15,-9
-7,-17
1,11
-7,7
-7,-5
9,19
1,-5
-3,-1
9,-5
1,-21
5,-1
21,-17
1,7
-23,15
-7,-5
5,3
1,-1
-11,3
-3,7
-3,7
-7,-1
-7,-21
-15,19
1,-13
21,3
-7,-21
9,-25
17,3
21,-13
-3,-5
-11,-1
5,3
17,23
1,-5
-11,-25
1,-17
-3,3
1,3
-7,-17
-15,-1
-7,15
-3,-9
-3,3
-3,11
13,3
13,7
-3,-5
5,7
-15,7
1,-5
-7,3
21,-13
37,-1
1,3
-3,7
-11,-9
-19,3
5,-1
1,-9
1,3
9,-9
1,3
17,15
-7,-13
-23,7
-11,19
-11,7
17,11
9,-21
-7,7
9,15
5,7
5,11
21,27
-11,-1
-11,-5
17,7
-15,-1
-11,-13
-3,-1
1,-5
9,-13
-3,7
17,-21
13,-9
-7,7
-15,-9
1,-9
9,7
21,19
5,-21
-3,-5
13,-5
-11,3
9,-5
1,-17
-19,-21
-3,-13
17,3
-3,-13
-3,-9
-15,-1
-15,11
1,3
-3,-1
-19,3
-11,-1
-3,-5
-7,3
21,7
13,19
13,-9
17,-1
1,11
-3,11
5,11
-11,3
9,11
-7,7
-7,7
9,-5
5,-21
-3,-9
-19,-9
-11,-5
1,3
9,-5
-39,-21
-23,3
21,3
17,-13
9,7
-3,11
-3,3
1,-5
1,-1
1,3
-23,11
5,15
-3,-1
-15,-1
-11,7
-11,7
9,3
9,-5
13,-9
17,-1
-3,3
13,3
13,-1
1,7
1,3
-19,-13
-19,-1
-3,11
13,3
-7,-5
1,-1
1,3
-11,-33
-3,-1
-3,15
-3,23
25,23
-3,19
-15,15
-3,11
1,-5
1,-1
-3,3
-3,-5
9,-13
1,-9
-3,3
